,Domain,Course,Similarity
336,Network Engineering,CSE 312,0.090157587988008
337,Finance,CSE 312,0.0894983658371003
338,Business Strategy,CSE 312,0.08875149106116671
339,Manufacturing & Supply Chain,CSE 312,0.07444494651434452
340,Product & Customer Support,CSE 312,0.07378242596199638
341,Sales Operations,CSE 312,0.07335052060845651
342,Administrative,CSE 312,0.045566264343889135
343,Sales & Account Management,CSE 312,0.03252231091334436
344,Developer Relations,CSE 312,-0.00930947403570539
345,Hardware Engineering,CSE 316,0.14892483344301582
346,Data Center & Network,CSE 316,0.14591907216235994
347,Finance,CSE 316,0.14500434454530478
348,Technical Writing,CSE 316,0.13769544898532332
349,Partnerships,CSE 316,0.13723936348687857
350,Real Estate & Workplace Services,CSE 316,0.13723936348687857
351,Technical Solutions,CSE 316,0.1356151247629896
352,Technical Infrastructure,CSE 316,0.1315451035508886
353,Program Management,CSE 316,0.12200258737429977
354,IT & Data Management,CSE 316,0.12089251049328595
355,Software Engineering,CSE 316,0.11615273961797357
356,User Experience & Design,CSE 316,0.10857452317140996
357,Network Engineering,CSE 316,0.10327609835658222
358,People Operations,CSE 316,0.10305952746421099
359,Product & Customer Support,CSE 316,0.09257980133406818
360,Marketing & Communications,CSE 316,0.08816314479336143
361,Sales Operations,CSE 316,0.086457259953022
362,Legal & Government Relations,CSE 316,0.08302281327778474
363,Manufacturing & Supply Chain,CSE 316,0.08059280866291374
364,Business Strategy,CSE 316,0.0702173198456876
365,Sales & Account Management,CSE 316,0.06255396955675678
366,Administrative,CSE 316,0.05995233898283914
367,Developer Relations,CSE 316,0.030278444336727262
368,User Experience & Design,CSE 320,0.1409890611190349
369,Technical Writing,CSE 320,0.11762945551163284
370,Data Center & Network,CSE 320,0.11758637437596917
371,Hardware Engineering,CSE 320,0.11406356368679553
372,Program Management,CSE 320,0.11385062406770885
373,Legal & Government Relations,CSE 320,0.10942331552505494
374,Software Engineering,CSE 320,0.10518047786317766
375,Partnerships,CSE 320,0.10115994125953875
376,Real Estate & Workplace Services,CSE 320,0.10115994125953875
377,Marketing & Communications,CSE 320,0.09611190049909055
378,Finance,CSE 320,0.0941496867191745
379,Technical Infrastructure,CSE 320,0.09375028517097235
380,Technical Solutions,CSE 320,0.09172136872075498
381,People Operations,CSE 320,0.0900847401469946
382,IT & Data Management,CSE 320,0.08608835604973138
383,Administrative,CSE 320,0.08252855345781426
384,Business Strategy,CSE 320,0.07614265759475529
385,Network Engineering,CSE 320,0.06989660318940878
386,Sales Operations,CSE 320,0.06928606290603057
387,Manufacturing & Supply Chain,CSE 320,0.06817248912993819
388,Sales & Account Management,CSE 320,0.06403726667631418
389,Product & Customer Support,CSE 320,0.05436452222056687
390,Developer Relations,CSE 320,0.01152887288480997
391,Technical Solutions,CSE 325,0.1613380515947938
392,Data Center & Network,CSE 325,0.15798290064558387
393,Hardware Engineering,CSE 325,0.14768317642156034
394,Program Management,CSE 325,0.129043058026582
395,IT & Data Management,CSE 325,0.12590118111111223
396,Network Engineering,CSE 325,0.10939732741098851
397,User Experience & Design,CSE 325,0.10883903661742807
398,Marketing & Communications,CSE 325,0.10338010787963867
399,Technical Writing,CSE 325,0.0992653044173494
400,Partnerships,CSE 325,0.09178444719291293
401,Real Estate & Workplace Services,CSE 325,0.09178444719291293
402,Business Strategy,CSE 325,0.09009420722723008
403,Technical Infrastructure,CSE 325,0.08066178816370666
404,Software Engineering,CSE 325,0.06617156723514199
405,Product & Customer Support,CSE 325,0.06454035211354495
406,Legal & Government Relations,CSE 325,0.06308972435072065
407,People Operations,CSE 325,0.06290390631475021
408,Finance,CSE 325,0.05998493376828264
409,Manufacturing & Supply Chain,CSE 325,0.057486903457902375
410,Administrative,CSE 325,0.05625820579443826
411,Sales Operations,CSE 325,0.053417735593393446
412,Sales & Account Management,CSE 325,0.03383769122883677
413,Developer Relations,CSE 325,0.019205482274992393
414,IT & Data Management,CSE 327,0.14748589197794595
415,Hardware Engineering,CSE 327,0.1266253748140621
416,User Experience & Design,CSE 327,0.11045411798275179
417,Data Center & Network,CSE 327,0.10898954633416401
418,Technical Writing,CSE 327,0.1056854458939698
419,Program Management,CSE 327,0.10082648627253042
420,Legal & Government Relations,CSE 327,0.09646464234942363
421,Technical Solutions,CSE 327,0.0959363513522678
422,Finance,CSE 327,0.09470786414264391
423,Marketing & Communications,CSE 327,0.09221662715491322
424,Network Engineering,CSE 327,0.0918872268359539
425,Technical Infrastructure,CSE 327,0.08933746206781103
426,Business Strategy,CSE 327,0.08686800859868526
427,Software Engineering,CSE 327,0.08606422920193937
428,Partnerships,CSE 327,0.0847742172384945
429,Real Estate & Workplace Services,CSE 327,0.0847742172384945
430,People Operations,CSE 327,0.07262557517323229
431,Product & Customer Support,CSE 327,0.06303333480738932
432,Manufacturing & Supply Chain,CSE 327,0.057650976788459554
433,Sales Operations,CSE 327,0.04713041213754979
434,Sales & Account Management,CSE 327,0.03481217323698931
435,Developer Relations,CSE 327,0.03433896963381105
