,Domain,Course,Similarity
119,"Administrative Business Partner, Cloud",CSE 101,0.11410280337440781
120,Payments Compliance Regulatory Licensing and Reporting Manager,CSE 101,0.11410280337440781
121,"Product Design Engineering Manager, Google Home",CSE 101,0.11256384102161973
122,"Project Manager, Staffing Services Operations",CSE 101,0.11222372064366937
123,"Technical Analytics Architect, Google Cloud Online Experience",CSE 101,0.11222372064366937
124,"Data Science Analyst, Revenue Strategy and Operations, Google Marketing Solutions",CSE 101,0.11207067011564505
125,"High-level Synthesis Design Engineer, Consumer Hardware",CSE 101,0.11207067011564505
126,"New Product Quality Manager, Consumer Hardware",CSE 101,0.11207067011564505
127,"Principal, Strategy, YouTube",CSE 101,0.11207067011564505
128,Visual Designer,CSE 101,0.11156629235483706
129,"Strategic Account Sales Manager Central/LatAm, Google Cloud",CSE 101,0.1113219905178994
130,"Research Analyst, Market Insights",CSE 101,0.11105123213492334
131,"Agency Go-to-Market and Business Analytics Manager, Spanish Speaking LatAm",CSE 101,0.11096278675831854
132,"Analyst, Staffing and Operations",CSE 101,0.11096278675831854
133,"Delivery Manager, Optimization Support, EMEA",CSE 101,0.11096278675831854
134,"Store Campaigns Manager, Merchandising, Google Play",CSE 101,0.11091463416814804
135,"Formal Verification Engineer, Consumer Hardware",CSE 101,0.11083127333549783
136,"Program Manager, Mergers and Acquisitions, Corporate Engineering",CSE 101,0.11083127333549783
137,"Global Lead, Industry Solutions, Health and Life Sciences Marketing, Google Cloud",CSE 101,0.11031838913913816
138,"Partner Sales Manager, Go-to-Market Partnerships, Google Cloud",CSE 101,0.10999565707461442
139,"Program Manager, Maps Support, Google Cloud",CSE 101,0.10987362464657054
140,"Strategic Cloud Engineer, Google Professional Services",CSE 101,0.10987362464657054
141,"Solutions Architect, Healthcare and Life Sciences, Google Cloud",CSE 101,0.1097699124366045
142,"HR Business Partner, Employee Relations",CSE 101,0.10953089301474392
143,"Project Lead, Staffing Services Operations Team",CSE 101,0.10953089301474392
144,Accountant,CSE 101,0.1093837400636403
145,"Analytical Consultant, Finance (Hebrew)",CSE 101,0.1093837400636403
146,Internal Executive Communications and Event Producer,CSE 101,0.1093837400636403
147,Quantitative User Experience Researcher,CSE 101,0.1093837400636403
148,Cloud DevOps and Infrastructure Engineer for Silicon Design,CSE 101,0.10913883745670319
149,"Head of Government Channels, Google Cloud",CSE 101,0.10870080057065934
150,"Partner Marketing Manager, Google Cloud",CSE 101,0.10870080057065934
151,"Industry Manager, Branding (English, Russian)",CSE 101,0.10857885032892227
152,"Inventory Accounting Manager, Consumer Hardware",CSE 101,0.10857885032892227
153,"Technical Program Manager, Site Reliability Engineering",CSE 101,0.10857885032892227
154,"Industrial Designer, Hardware",CSE 101,0.10846066740341484
155,"Account Executive, Google Cloud",CSE 101,0.10824834600789472
156,Operations Engineer,CSE 101,0.10824834600789472
157,"Program Manager, Web Producer, Google Cloud",CSE 101,0.10824834600789472
158,"Business Development Manager, Next Billion Users",CSE 101,0.10778774223290384
159,"Business Lead, Partner Directory, Google Cloud",CSE 101,0.1076895116828382
160,"Product Lifecycle Management, Business Systems",CSE 101,0.1076895116828382
161,Trademark Counsel,CSE 101,0.10755708776414394
162,"Application Engineer, SAP",CSE 101,0.10740021942183375
163,"Operations Specialist, Google People Services (Japanese)",CSE 101,0.10740021942183375
164,"Operations Specialist, Google People Services (Traditional Mandarin)",CSE 101,0.10740021942183375
165,Software Engineer,CSE 101,0.10740021942183375
166,"Technical Specialist, Google Technical Services (English and Italian)",CSE 101,0.10740021942183375
167,"Associate Contracts Manager, Ads",CSE 101,0.10716638509184122
168,"Associate Contracts Manager, Cloud",CSE 101,0.10716638509184122
169,"Business Development Manager, Google Cloud Partnerships",CSE 101,0.1065016521140933
170,"Global Supply Chain Manager, Audio, Consumer Hardware",CSE 101,0.1065016521140933
171,"User Experience Research Intern, Summer 2018",CSE 101,0.1065016521140933
172,User Experience Research Lead,CSE 101,0.1065016521140933
173,"Internal Audit, Technology Audit Manager",CSE 101,0.10635173823684455
174,Real Estate Portfolio Administrator,CSE 101,0.10624122163280844
175,"Technical Program Manager, Google Cloud Functions",CSE 101,0.10624122163280844
176,"Account Manager, Retail Vertical",CSE 101,0.10623219142726156
177,"Customer Public Relations Manager, Google Cloud",CSE 101,0.10623219142726156
178,"Business Systems Analyst, PLM and CAD",CSE 101,0.10616745278239251
179,Staffing Services Associate Lead,CSE 101,0.10616745278239251
180,"Business Operations Lead, Google Play",CSE 101,0.10610176352784037
181,"Change Management Specialist, Google Professional Services",CSE 101,0.10610176352784037
182,"MBA Intern, Summer 2018",CSE 101,0.10610176352784037
183,Media Research Manager (English and Turkish speaker),CSE 101,0.10610176352784037
184,"Partner Support Manager, Android Partner Engineering",CSE 101,0.10610176352784037
185,"Program Manager, Cloud Platform Sales Development, Google Cloud",CSE 101,0.10610176352784037
186,"Mobile Sites UX and Conversion Specialist (German), Performance Team",CSE 101,0.10555918267928063
187,"Product Marketing Manager, SMB Marketing (Spanish)",CSE 101,0.10555918267928063
188,"Senior Accountant, Play Business Controller",CSE 101,0.10555918267928063
189,"Systems Engineer, Site Reliability Engineering",CSE 101,0.10555918267928063
190,"Vendor Manager, Google Technical Services",CSE 101,0.10555918267928063
191,"Analytical Consultant, Auto (English, Russian)",CSE 101,0.1055492901330581
192,"Visual Designer, Brand Studio",CSE 101,0.1055492901330581
193,Recruiter,CSE 101,0.10525594626087695
194,"Events Manager Lead, Google Cloud Marketing",CSE 101,0.10493532596156001
195,"UX Engineer, Front End, Waze",CSE 101,0.10493532596156001
196,"User Experience Engineer Intern, Summer 2018",CSE 101,0.10493532596156001
197,"Account Manager, Media, Large Customer Sales (UKI)",CSE 101,0.10469425022602082
198,"Account Strategist (English, Portuguese)",CSE 101,0.10469425022602082
199,"Graphics Software Engineer, Robotics Simulation, Google Cloud Platform",CSE 101,0.10469425022602082
200,ソフトウェア エンジニア、Chrome OS ビデオ,CSE 101,0.10469425022602082
201,"Marketing Analytics Manager, Retail Marketing",CSE 101,0.10466722005512566
202,"Product Marketing Manager, Google Analytics",CSE 101,0.10466722005512566
203,"Associate Legal Counsel, Commercial (Google Cloud Platform)",CSE 101,0.10392100769095122
204,"Scaled Abuse Analyst, YouTube",CSE 101,0.10262948831077665
205,"Deal Manager, Google Cloud",CSE 101,0.10137439640238881
206,"Inside Sales Representative, Google Cloud",CSE 101,0.10137439640238881
207,"Product Marketing Manager, Databases, Google Cloud",CSE 101,0.10137439640238881
208,MBA Intern 2018,CSE 101,0.1010748129338026
209,"Customer Solutions Engineer, Google Technical Services Ads",CSE 101,0.1008347504073754
210,"Manager, Mid Market Sales",CSE 101,0.1008347504073754
211,"Product Strategist, Growth, YouTube",CSE 101,0.1008347504073754
212,Technical Recruiter,CSE 101,0.1008347504073754
213,"Business Intelligence Analyst, Finance",CSE 101,0.10079708601115271
214,Entity Controller,CSE 101,0.10079333814792335
215,"Political Advertising Program, Summer-Fall 2018",CSE 101,0.10055878451094032
216,"Business Analyst, Google Play Partner Promotions Strategy",CSE 101,0.10048585226759314
217,"Head of Growth Marketing Strategy, Google Play",CSE 101,0.10048585226759314
218,"Strategy and Operations Analyst, Ad Grants",CSE 101,0.10048585226759314
219,"Associate Account Strategist, Sales, Google Marketing Solutions (Spanish)",CSE 101,0.10046143461950123
220,"Communications Manager, Developer and Emerging Ads",CSE 101,0.10046143461950123
221,"Global Head of Music Social and Influencer Marketing, Marketing, YouTube",CSE 101,0.10046143461950123
222,"Product Analyst, Product and Sales Activation, Google Marketing Solutions",CSE 101,0.10046143461950123
223,"Account Executive, Democratic Elections",CSE 101,0.10021764528937638
224,"Content Policy Manager, Asia Pacific (Full-time/Part-time)",CSE 101,0.10021764528937638
225,"Inside Sales and Customer Growth Representative, Google Cloud (English, Mandarin, Cantonese)",CSE 101,0.10021764528937638
226,Privacy Counsel,CSE 101,0.10021764528937638
227,"Sales Lead, SMB, Google Cloud Platform",CSE 101,0.10021764528937638
228,"U.S. Tax Analyst, Employment Tax",CSE 101,0.10021764528937638
229,"Performance Video Agency Specialist, YouTube",CSE 101,0.10016096795443445
230,"Data Analyst, Product Trust and Safety",CSE 101,0.10010755471885205
231,Risk and Compliance Manager,CSE 101,0.10010755471885205
232,"Software Engineer, Tools and Infrastructure",CSE 101,0.10010755471885205
233,"Senior Tax Manager, Treasury",CSE 101,0.10003558890894056
234,"Associate Account Strategist (Czech/Slovak), Global Customer Experience",CSE 101,0.09969926346093416
235,"Associate Account Strategist (Hungarian), Global Customer Experience",CSE 101,0.09969926346093416
236,Staffing Channels Specialist,CSE 101,0.09969926346093416
237,Treasury Accountant,CSE 101,0.09969926346093416
238,"Android UX Engineer, Front End, Waze",CSE 101,0.09960895589319989
239,Disability Accommodation Specialist,CSE 101,0.09960895589319989
